G,GS,Pass_Att,Pass_Cmp,Pass_Pct,Pass_Yds,Pass_YPA,Pass_YPG,Pass_TD,Pass_T%,Pass_Int,Pass_I%,Pass_Lg,Pass_FD,Pass_20+,Sack,Loss,Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_YPG,Rush_Lg,Rush_TD,Rush_FD,Rec_10+,Rec,Rec_Yds,Rec_Avg,Rec_YPG,Rec_Lg,Rec_TD,Rec_FD,Rec_20+,Rec_Tar,Rec_YAC,Player
81,69,2,2,100.0,54,27.0,0.7,0,0.0,0,0.0,38,2,1,0,0,118.8,5,21,4.20,0.3,9,0,1,0,298,"4,259",14.29,52.6,70t,24,193,54,511,965,sutton courtland
73,23,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,3,3,1.00,0.0,5,0,0,0,269,"2,884",10.72,39.5,65t,17,143,30,363,"1,392",renfrow hunter
,,,,,,,,,,,,,,,,,,1,4,4.00,0.0,4,0,0,0,709,"7,434",10.49,49.2,60,46,398,25,"1,060","2,399",ertz zach
,,,,,,,,,,,,,,,,,,,,,,,,,,70,780,11.14,18.6,42t,8,39,9,95,305,jarwin blake
,,,,,,,,,,,,,,,,,,16,93,5.81,0.9,14,1,6,1,449,"4,557",10.15,46.0,75t,24,215,31,670,"2,399",engram evan
94,57,11,3,27.3,124,11.3,1.3,1,9.1,0,0.0,81t,1,1,2,11,104.4,4,7,1.75,0.1,3,0,3,0,219,"2,002",9.14,21.3,35,16,97,12,328,832,thomas logan
,,,,,,,,,,,,,,,,,,,,,,,,,,482,"4,773",9.90,28.9,60,50,266,11,710,"2,123",rudolph kyle
,,,,,,,,,,,,,,,,,,1,0,0.00,0.0,0,0,0,0,341,"3,547",10.40,49.3,81,23,183,38,500,"1,477",hockenson tj
85,24,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.00,0.0,0,0,0,0,148,"1,549",10.47,18.2,54t,17,76,22,193,661,tonyan robert
,,,,,,,,,,,,,,,,,,2,3,1.50,0.0,3,0,1,0,719,"8,545",11.88,43.4,59,89,478,13,"1,115","2,973",graham jimmy
,,,,,,,,,,,,,,,,,,1,2,2.00,0.0,2t,1,1,0,621,"9,286",14.95,64.9,76t,92,460,26,961,"3,493",gronkowski rob
,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,0,82,845,10.30,14.1,41,7,41,8,116,449,trautman adam
,,,,,,,,,,,,,,,,,,1,-4,-4.00,-0.1,0,0,0,0,149,"2,049",13.75,46.6,61,6,98,28,259,573,pitts kyle
,,,,,,,,,,,,,,,,,,,,,,,,,,116,"1,055",9.09,11.2,50,4,56,6,179,620,thomas ian
,,,,,,,,,,,,,,,,,,12,71,5.92,0.7,18,0,4,1,460,"6,274",13.64,64.0,85t,37,287,67,639,"3,346",kittle george
,,,,,,,,,,,,,,,,,,1,7,7.00,0.1,7,0,0,0,127,"1,421",11.19,19.7,66,13,70,14,156,779,dissly will
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,williams maxx
,,,,,,,,,,,,,,,,,,1,1,1.00,0.0,1,0,0,0,353,"3,602",10.20,28.8,44,22,185,33,520,"1,793",higbee tyler
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knox dawson
98,41,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,39.6,,,,,,,,,260,"2,861",11.00,29.2,70,20,139,34,415,841,gesicki mike
,,,,,,,,,,,,,,,,,,,,,,,,,,329,"3,853",11.71,37.4,59,38,219,33,479,"1,243",henry hunter
,,,,,,,,,,,,,,,,,,,,,,,,,,75,836,11.15,17.1,32t,8,46,3,110,341,herndon chris
106,82,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.00,0.0,0,0,0,0,192,"1,881",9.80,17.7,55t,16,99,14,271,952,uzomah cj
,,,,,,,,,,,,,,,,,,5,8,1.60,0.1,4,0,3,0,381,"4,857",12.75,55.8,74,40,259,61,563,"1,576",andrews mark
106,59,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,39.6,5,-6,-1.20,-0.1,2t,3,3,0,351,"3,837",10.93,36.2,61,33,203,10,559,"1,575",ebron eric
,,,,,,,,,,,,,,,,,,,,,,,,,,364,"3,702",10.17,30.3,88t,25,190,19,499,"1,535",hooper austin
,,,,,,,,,,,,,,,,,,1,2,2.00,0.0,2t,1,1,0,621,"9,286",14.95,64.9,76t,92,460,26,961,"3,493",gronkowski rob
,,,,,,,,,,,,,,,,,,,,,,,,,,115,"1,207",10.50,17.0,45,5,67,11,153,446,firkser anthony
,,,,,,,,,,,,,,,,,,,,,,,,,,26,271,10.42,2.3,50t,2,12,2,40,167,manhertz chris
,,,,,,,,,,,,,,,,,,2,7,3.50,0.1,4,0,2,0,166,"1,887",11.37,21.0,53t,8,92,21,239,950,akins jordan
159,152,3,1,33.3,4,1.3,0.0,0,0.0,1,33.3,4,1,0,0,0,2.8,8,14,1.75,0.1,4t,2,5,0,907,"11,328",12.49,71.2,80t,74,600,80,"1,267","5,286",kelce travis
,,,,,,,,,,,,,,,,,,14,43,3.07,0.4,14,0,4,--,84,510,6.07,4.7,19,3,28,--,0,--,cook jared
,,,,,,,,,,,,,,,,,,3,-12,-4.00,-0.1,0,0,0,0,252,"2,805",11.13,34.6,75t,14,126,36,355,"1,428",fant noah
,,,,,,,,,,,,,,,,,,3,26,8.67,0.3,21,0,1,0,350,"4,124",11.78,48.0,75,20,208,60,501,"1,791",waller darren
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,johnson lane
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martin zack
,,,,,,,,,,,,,,,,,,"1,044","3,891",3.73,45.2,67t,23,178,--,113,756,6.69,8.8,30,1,28,--,--,--,thomas andrew
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,0,0,0,scherff brandon
,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,5.00,0.1,11t,2,2,0,3,11,decker taylor
,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,0,0,0,0.00,0.0,0,0,0,0,1,0,bakhtiari david
,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,--,0,0,0.00,0.0,0,0,0,--,--,--,whitehair cody
,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,0,,,,,,,,,,,wirfs tristan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,armstead terron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matthews jake
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,0,0,0,taylor moton
,,,,,,,,,,,,,,,,,,289,"1,166",4.03,55.5,39t,6,--,--,52,598,11.50,28.5,60t,5,--,--,--,--,williams trent
,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,0,,,,,,,,,,,brown duane
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,saffold rodger
,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.00,0.0,1t,1,1,0,1,0,whitworth andrew
,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,0,2,8,4.00,0.1,7t,2,2,0,3,0,dawkins dion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jackson austin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wynn isaiah
,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,0,,,,,,,,,,,becton mekhi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,williams jonah
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown jr orlando
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dotson kevin
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,0,1,0,conklin jack
,,,,,,,,,,,,,,,,,,1,0,0.00,0.0,0,0,0,0,,,,,,,,,,,nelson quenton
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,saffold rodger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cam robinson
,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,0,0,0,0.00,0.0,0,0,0,0,0,0,tunsil laremy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown orlando
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slater rashawn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bolles garett
,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,0,,,,,,,,,,,miller kolton
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cox fletcher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawrence demarcus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,williams leonard
,,,,,,,,,,,,,,,,,,16,80,5.00,0.4,17t,1,--,--,418,"5,106",12.22,27.3,80t,27,--,--,--,--,young chase
